States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,16,22,36,17,32,25,23,20
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,5,5,5,1,0,0
Iowa,All Diabetes,All Recipient Ages,163,180,214,243,218,214,200,179,164,184,197,146,173,161,131,120,111,117,125,116,130,144,123,140,121,118,108,107,92,153,109,81,84,84,72,85
,,1-5 Years,0,1,3,3,4,1,2,2,2,1,3,0,2,3,3,0,0,0,2,1,2,1,0,1,1,1,0,0,0,1,2,1,0,2,0,1
,,6-10 Years,1,1,2,0,2,1,1,1,3,0,2,0,1,2,4,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,4,3,4,3,1,0
,,11-17 Years,2,4,4,2,7,1,2,2,2,1,3,4,1,7,9,6,2,1,4,3,7,5,5,3,3,4,3,3,6,9,6,4,5,2,2,4
,,18-34 Years,16,24,23,21,19,20,20,17,16,19,18,15,22,23,10,14,15,11,15,15,19,18,22,30,24,27,20,24,24,37,26,21,21,25,24,29
,,35-49 Years,44,41,40,52,50,63,36,52,31,35,51,32,40,27,29,19,19,29,32,38,35,47,41,48,39,37,43,44,30,54,34,30,31,27,31,32
,,50-64 Years,66,59,80,90,65,74,93,66,81,74,74,64,77,73,51,60,53,50,51,49,51,57,36,42,44,39,33,30,28,39,33,20,19,23,14,18
,,65 +,34,50,62,75,71,54,46,39,29,54,46,31,30,26,25,21,21,26,21,10,15,15,18,15,9,10,9,6,4,12,4,2,4,2,0,1
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,No,All Recipient Ages,102,120,126,154,156,144,132,130,104,115,120,93,107,110,94,70,69,81,83,86,98,109,87,99,96,86,80,74,61,52,3,0,0,0,0,0
,,1-5 Years,0,1,3,3,4,1,2,2,2,1,3,0,2,3,3,0,0,0,2,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,1,1,2,0,2,1,1,1,3,0,2,0,1,2,4,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0
,,11-17 Years,2,4,4,2,7,1,2,2,2,1,3,4,1,7,9,6,2,1,4,3,7,5,5,3,3,4,3,3,6,7,0,0,0,0,0,0
,,18-34 Years,16,24,20,21,18,20,20,17,15,19,18,14,22,23,9,12,14,11,14,14,18,16,20,29,22,22,20,20,21,14,0,0,0,0,0,0
,,35-49 Years,32,31,33,39,42,48,31,46,25,27,38,23,30,20,25,13,10,24,23,33,28,34,30,30,31,28,29,28,17,18,1,0,0,0,0,0
,,50-64 Years,34,33,36,45,38,44,50,40,44,42,34,35,38,42,31,26,28,27,28,29,32,42,20,27,31,22,21,19,13,9,0,0,0,0,0,0
,,65 +,17,26,28,44,45,29,26,22,13,25,22,17,13,13,13,13,14,18,12,6,10,10,11,8,7,9,7,4,4,3,0,0,0,0,0,0
,Type I,All Recipient Ages,9,4,13,7,10,5,4,5,12,11,10,5,5,6,5,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,2,1,2,2,4,3,0,3,1,4,3,3,4,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,5,2,9,3,5,1,3,2,11,4,6,1,1,3,3,7,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,1,2,2,1,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,50,56,74,82,52,65,64,44,48,58,67,46,60,45,31,37,27,24,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,8,9,5,11,4,12,5,3,5,4,10,5,5,4,3,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,27,24,35,42,22,29,40,24,26,28,34,28,38,28,16,25,16,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,15,23,32,29,25,24,19,17,16,26,23,12,17,13,12,7,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,6,26,28,31,35,36,39,24,29,28,31,19,18,0,0,0,1,1,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,4,0,3,3,3,0,0,0,0,1,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,6,13,11,17,7,8,14,15,7,10,0,0,0,1,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,15,18,19,15,16,14,13,16,12,11,9,4,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,5,5,7,7,2,1,2,2,0,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,3,0,2,11,83,106,81,84,83,71,85
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,5,2,2,4
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20,26,21,21,25,23,29
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,6,26,33,30,31,26,31,32
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,26,33,20,19,23,14,18
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,4,2,0,1
Kansas,All Diabetes,All Recipient Ages,136,177,186,203,159,130,113,132,126,127,112,115,135,122,142,137,109,96,95,96,94,93,79,81,85,79,76,61,74,66,70,56,73,62,60,71
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,3,0,0,3,2,4,0,3,2,3,1,2,1,3,0,2,4,2,1
,,18-34 Years,17,17,22,21,20,29,18,25,19,17,16,15,14,17,21,19,10,25,17,23,13,16,20,22,22,17,14,15,23,23,17,21,24,19,19,23
,,35-49 Years,29,38,43,55,32,35,29,41,50,37,29,25,28,31,31,42,37,28,28,31,35,34,24,29,29,33,33,28,27,22,35,24,29,26,28,34
,,50-64 Years,52,69,72,77,67,50,51,44,49,49,55,50,50,46,71,56,38,33,38,33,31,30,27,25,27,26,25,15,22,16,13,10,16,13,11,13
,,65 +,38,53,49,50,40,16,15,22,8,24,12,24,40,25,19,20,24,7,11,9,12,11,4,5,4,1,1,2,0,3,2,1,2,0,0,0
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,10,0,0,0,0,0,0,0,0,1,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,81,111,125,125,97,95,79,95,85,81,75,83,96,88,93,95,78,75,69,68,70,70,51,57,76,56,46,43,42,16,2,0,1,0,0,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,3,0,0,3,2,4,0,3,2,3,1,2,1,0,0,0,0,0,0
,,18-34 Years,14,14,22,20,18,28,18,25,18,14,15,14,14,16,16,17,9,23,17,21,12,13,18,20,22,12,13,12,17,6,1,0,0,0,0,1
,,35-49 Years,20,30,35,43,22,28,23,33,34,29,20,18,23,24,27,32,33,22,22,21,27,26,17,16,28,23,16,17,11,3,1,0,1,0,0,0
,,50-64 Years,34,35,40,38,33,29,28,25,32,31,34,35,35,30,40,35,22,22,24,20,20,21,10,17,20,18,13,11,12,4,0,0,0,0,0,0
,,65 +,13,32,28,24,24,10,10,12,1,7,6,15,21,16,10,11,14,5,5,6,8,8,2,4,3,1,1,2,0,1,0,0,0,0,0,0
,Type I,All Recipient Ages,7,6,3,8,5,4,2,4,7,1,5,3,5,3,8,5,6,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,3,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,3,2,2,1,2,1,3,4,0,3,0,2,1,2,4,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,1,1,3,2,1,1,1,2,1,2,3,3,0,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,1,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,47,59,57,70,55,31,31,32,34,44,32,28,34,30,41,36,25,14,15,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,2,0,1,1,1,0,0,0,2,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,8,5,6,10,9,5,5,5,12,8,6,7,3,6,2,6,1,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,16,33,30,36,30,20,21,17,15,17,19,11,12,16,29,19,13,7,10,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,65 +,23,19,21,23,15,5,5,10,7,17,6,9,19,6,9,9,10,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,12,19,20,24,14,8,21,27,14,18,4,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,4,1,2,3,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7,6,6,1,9,15,9,10,1,0,0,0,0,0,0
,,50-64 Years,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,9,8,15,6,6,8,11,3,5,2,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,4,14,46,68,56,71,62,60,70
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,2,1
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,16,21,23,19,19,22
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,6,18,34,24,28,26,28,34
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,10,13,10,16,13,11,13
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0
Kentucky,All Diabetes,All Recipient Ages,168,177,163,208,168,204,183,155,148,145,150,151,145,168,160,135,141,140,160,121,156,152,150,135,124,149,148,143,146,145,162,140,160,115,100,94
,,1-5 Years,0,1,0,0,0,2,0,1,2,0,2,1,0,0,0,1,0,1,0,2,0,3,1,1,0,0,4,1,1,2,5,1,1,2,2,5
,,6-10 Years,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,3,2,3,3,1,1,1,3,3,2,2
,,11-17 Years,6,1,3,3,2,2,6,1,5,5,4,2,6,2,3,1,3,3,6,1,4,2,4,5,4,4,5,2,7,7,7,3,5,2,4,5
,,18-34 Years,20,22,15,31,17,22,27,16,23,24,14,15,17,22,21,14,23,15,29,25,23,34,31,25,21,32,28,40,34,31,53,44,50,33,40,33
,,35-49 Years,42,45,41,50,40,55,52,43,47,30,36,32,36,43,50,35,42,36,45,39,54,51,45,46,55,49,46,51,51,67,54,55,65,47,36,33
,,50-64 Years,62,78,68,70,61,75,64,67,43,59,69,70,63,77,66,64,57,65,64,44,57,52,55,45,34,50,50,39,44,34,37,31,33,27,16,14
,,65 +,38,30,35,53,47,48,33,26,28,27,25,31,22,24,20,20,15,18,16,10,18,10,14,12,9,11,13,7,6,3,5,5,3,1,0,2
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,2,5,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,96,108,102,148,91,132,114,99,107,84,103,98,102,111,113,85,101,80,118,90,103,115,101,103,95,120,112,100,115,53,2,1,1,0,1,1
,,1-5 Years,0,1,0,0,0,2,0,1,1,0,2,1,0,0,0,1,0,0,0,2,0,3,1,1,0,0,4,1,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,3,2,3,3,0,0,0,0,0,0,0
,,11-17 Years,6,1,3,3,2,2,6,1,5,5,4,2,6,2,3,1,3,3,5,1,4,2,4,5,4,4,5,2,7,3,0,0,0,0,1,0
,,18-34 Years,18,22,15,27,12,22,26,15,21,22,14,15,15,20,19,13,21,14,26,22,19,33,28,23,20,30,26,32,31,16,1,1,0,0,0,1
,,35-49 Years,25,29,33,43,26,40,38,33,40,14,30,24,31,27,40,28,32,25,39,29,36,39,31,37,43,41,32,35,41,24,0,0,1,0,0,0
,,50-64 Years,27,42,33,44,30,42,27,34,23,28,43,45,35,48,39,36,33,29,40,29,33,30,29,28,23,36,31,22,27,8,1,0,0,0,0,0
,,65 +,20,13,17,30,20,24,16,14,17,15,10,11,14,14,12,6,11,7,8,7,11,8,8,8,4,6,12,5,6,2,0,0,0,0,0,0
,Type I,All Recipient Ages,8,8,4,7,12,8,9,4,5,13,5,6,4,8,9,6,8,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,0,0,2,4,0,1,1,0,1,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,3,2,0,1,5,4,3,2,1,8,1,3,0,3,1,0,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,4,4,4,2,3,5,1,2,3,4,2,2,4,5,5,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,2,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,64,61,57,53,65,64,60,52,36,48,42,47,38,49,37,43,30,34,16,10,23,18,30,0,0,0,0,0,0,0,0,1,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,2,1,0,0,0,2,1,0,0,0,2,0,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
,,35-49 Years,14,14,8,6,9,11,11,8,6,8,5,5,5,13,9,7,5,4,1,1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,32,32,31,22,29,30,32,32,18,28,22,23,26,25,21,22,21,21,9,7,12,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,18,15,18,23,26,23,17,12,10,11,15,19,7,9,7,13,3,8,4,1,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,17,15,25,19,18,32,29,29,32,36,21,16,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,2,2,4,2,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,8,7,9,12,8,11,13,6,7,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,6,11,10,8,17,11,14,18,17,13,8,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,0,1,4,5,5,1,2,0,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,75,160,137,159,114,99,93
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,1,1,2,5
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,2
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,5,2,3,5
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,14,52,41,50,33,40,32
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,36,54,55,64,47,36,33
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,17,36,31,33,27,16,14
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,1,0,2
Louisiana,All Diabetes,All Recipient Ages,319,383,370,313,371,259,284,255,251,267,214,229,247,276,271,260,279,257,263,320,272,227,245,222,177,166,191,177,192,205,174,172,164,154,120,132
,,1-5 Years,1,2,2,3,0,2,1,0,1,3,3,1,1,1,0,2,4,4,5,3,7,5,3,3,5,4,5,1,5,2,4,1,6,1,3,1
,,6-10 Years,3,0,1,3,0,2,0,3,1,3,0,1,5,1,1,1,6,2,2,7,2,6,1,2,4,1,3,3,4,0,2,2,2,5,1,0
,,11-17 Years,7,10,13,6,0,6,7,7,8,8,8,7,6,9,9,8,14,6,9,6,8,10,8,11,7,7,11,10,11,9,9,9,4,7,8,7
,,18-34 Years,37,51,54,45,48,42,36,36,36,35,27,25,36,27,41,39,41,33,47,49,47,49,52,53,42,39,47,38,43,64,55,53,44,46,31,45
,,35-49 Years,91,119,104,80,114,77,80,69,75,66,58,73,72,78,79,72,70,70,83,112,86,65,77,79,54,65,58,71,75,72,61,67,63,53,54,55
,,50-64 Years,108,140,136,132,148,88,107,97,102,119,92,88,94,123,114,102,108,103,96,114,106,82,81,59,49,41,56,44,48,49,35,40,40,35,23,23
,,65 +,72,61,60,44,61,42,53,43,28,33,26,34,33,37,27,36,36,39,21,29,16,10,23,15,16,9,11,10,6,9,8,0,5,7,0,1
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,2,0,3,3,2,0,2,0,0,1,0,0,0,1,1,0,1,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,214,265,252,216,243,185,184,176,186,177,142,162,171,199,186,177,204,184,194,245,215,180,192,169,134,124,143,124,134,53,0,2,1,0,1,1
,,1-5 Years,1,2,2,3,0,2,1,0,1,3,3,1,1,1,0,2,4,4,5,3,7,5,3,3,5,4,5,1,5,1,0,1,0,0,1,0
,,6-10 Years,3,0,1,3,0,2,0,3,1,3,0,1,5,1,1,1,6,2,2,7,2,6,1,2,4,1,3,3,4,0,0,0,1,0,0,0
,,11-17 Years,7,10,13,6,0,6,7,6,8,8,8,7,6,9,9,8,14,4,8,6,8,10,8,10,7,7,11,10,9,5,0,0,0,0,0,0
,,18-34 Years,35,47,52,42,48,38,33,34,34,33,26,24,34,25,39,36,39,32,42,45,42,43,49,48,36,33,40,31,33,20,0,1,0,0,0,0
,,35-49 Years,71,87,77,62,85,61,61,54,64,45,37,57,54,63,65,53,55,54,64,90,75,54,60,64,43,51,44,46,54,19,0,0,0,0,0,1
,,50-64 Years,62,90,83,77,76,52,60,60,65,70,55,52,60,79,56,58,64,63,63,76,71,55,59,32,30,22,33,26,26,8,0,0,0,0,0,0
,,65 +,35,29,24,23,34,24,22,19,13,15,13,20,11,21,16,19,22,25,10,18,10,7,12,10,9,6,7,7,3,0,0,0,0,0,0,0
,Type I,All Recipient Ages,10,13,6,9,7,7,5,7,8,6,9,12,20,7,5,10,14,13,10,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,2,1,1,0,1,0,1,2,1,0,0,1,1,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
