States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,1,0,0,2,1,3,3,2,2,16,20,21,41,43,36,38,27,28,35,27,23,29,17,6,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,11,6,5,3,4,2,0,1,1,0,0,0,0,0,0,0
,Unknown,All Donor Relations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,14,22,37,116,149,109,112,121,147,140
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,4,3,11,8,1
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,6,2,2,3,3
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,28,8,16,19,15,11
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,14,22,35,100,103,89,91,85,120,125
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,NOT REPORTED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,4,0,0
Arkansas,All Diabetes,All Donor Relations,146,160,193,151,172,122,75,88,80,67,85,108,100,100,113,87,119,130,132,120,95,100,77,88,92,93,101,89,99,89,91,89,69,63,61,36
,,"Biological, blood related Parent",1,1,0,1,1,1,0,0,4,0,1,3,2,0,3,1,2,2,5,4,6,6,2,10,7,6,4,5,7,4,5,5,5,6,9,4
,,"Biological, blood related Child",0,1,0,0,0,0,0,0,2,2,1,3,6,5,2,6,7,8,5,9,8,10,11,10,16,11,6,7,11,5,6,6,2,1,2,0
,,"Biological, blood related Full Sibling",1,1,0,0,0,1,1,5,3,6,4,2,1,5,9,4,3,10,13,9,8,12,11,12,18,16,18,15,24,17,17,22,18,8,10,6
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,1,0,1,0,0,0,2,1,0,1,3,1,5,2,4,1,7,0,2,2,2,2,3,1,0,1,0,3,1,0,0,1
,,"Non-Biological, Spouse",0,0,0,0,0,2,2,2,1,1,0,1,0,2,3,2,2,1,7,6,3,3,6,7,3,6,2,1,2,0,0,0,0,1,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",140,153,192,149,165,114,71,79,66,57,73,86,85,85,84,71,97,99,94,82,56,61,40,43,43,49,64,57,53,51,63,53,43,44,40,22
,,"Non-Biological, Other Unrelated Directed",4,4,1,1,4,4,0,2,3,1,4,8,5,1,5,2,0,8,3,8,6,8,5,3,3,3,3,3,1,0,0,0,0,2,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3
,Diabetes Status Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,No,All Donor Relations,86,97,117,94,110,85,53,63,56,45,57,71,67,62,72,54,77,91,88,85,73,77,54,66,67,76,69,61,58,28,2,1,0,1,1,0
,,"Biological, blood related Parent",1,1,0,1,1,1,0,0,4,0,1,3,2,0,3,1,2,2,4,2,6,6,2,9,7,4,0,4,4,3,0,0,0,0,0,0
,,"Biological, blood related Child",0,1,0,0,0,0,0,0,1,1,0,2,3,4,1,4,5,6,3,8,4,8,6,7,10,9,4,6,7,5,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,0,0,0,1,1,5,1,5,3,1,1,4,5,3,2,6,7,5,4,11,8,9,14,13,11,10,19,11,1,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,1,0,1,0,0,0,2,1,0,1,3,1,4,2,3,1,5,0,2,2,2,2,2,1,0,0,0,1,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,1,2,1,1,1,0,1,0,2,2,2,1,1,4,6,1,2,3,2,2,3,1,1,1,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",82,90,116,92,103,79,49,57,45,37,48,53,55,51,52,42,61,68,65,55,50,43,31,34,30,43,48,37,25,7,1,0,0,1,1,0
,,"Non-Biological, Other Unrelated Directed",3,4,1,1,4,3,0,0,3,1,3,6,5,0,3,1,0,6,2,7,2,7,2,2,2,2,2,2,1,0,0,0,0,0,0,0
,Type I,All Donor Relations,5,3,8,5,8,1,3,2,6,5,4,5,4,6,6,10,16,10,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",5,3,8,5,8,0,3,1,5,4,3,4,4,6,4,7,12,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,55,60,60,51,54,36,18,22,16,14,21,26,27,27,31,21,26,27,20,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",53,60,60,51,54,35,18,20,15,13,20,23,24,24,26,20,24,19,13,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Donor Relations,0,0,8,1,0,0,1,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,8,1,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,2,3,3,2,4,4,2,0,1,9,24,20,22,23,21,23,16,28,19,22,8,0,0,0,0,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,3,0,0,0,0,0,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,6,2,1,1,4,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,3,3,4,3,7,5,5,4,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,5,1,3,1,0,1,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,2,2,3,2,3,2,2,0,1,8,20,5,17,9,8,11,6,13,12,9,4,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0
,Unknown,All Donor Relations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,4,9,19,52,89,88,68,62,60,36
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5,5,6,9,4
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,2,1,2,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,22,17,8,10,6
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,8,19,39,62,53,43,43,39,22
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,,NOT REPORTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3
California,All Diabetes,All Donor Relations,2464,2786,2702,2591,2619,2486,2281,2287,2198,2039,2085,2073,1998,1939,1822,1926,1912,1931,1814,1960,1844,1697,1596,1529,1382,1463,1392,1339,1302,1252,1306,1207,1282,1219,1152,1192
,,"Biological, blood related Parent",41,62,58,62,53,59,51,61,58,53,73,69,63,77,102,74,73,81,88,100,99,105,101,92,93,106,93,85,87,60,80,63,59,37,37,41
,,"Biological, blood related Child",53,56,68,50,54,68,74,73,99,79,82,80,73,86,85,90,102,106,102,116,131,114,99,85,79,80,73,66,48,51,51,45,34,13,10,13
,,"Biological, blood related Identical Twin",2,0,1,0,1,0,1,0,1,0,1,1,2,3,1,1,3,4,1,1,3,2,1,3,2,0,1,2,0,1,0,1,0,0,0,0
,,"Biological, blood related Full Sibling",89,117,105,88,94,108,101,114,142,144,150,130,130,173,175,178,179,195,191,214,198,206,222,214,171,181,197,179,184,186,184,138,147,99,107,94
,,"Biological, blood related Half Sibling",5,7,5,7,5,9,9,3,6,8,10,10,5,2,6,6,4,8,9,5,8,3,8,11,12,3,3,5,4,4,2,0,0,0,0,1
,,"Biological, blood related Other Relative",37,28,30,38,53,43,37,24,40,32,45,39,39,40,48,57,54,49,50,48,61,51,51,57,40,41,34,29,18,13,12,5,0,2,1,1
,,"Non-Biological, Spouse",67,77,59,101,106,93,80,74,110,64,80,97,92,102,100,88,115,83,78,102,89,79,73,67,49,63,39,45,41,21,16,9,5,3,4,2
,,"Non-Biological, Life Partner",3,4,3,2,8,3,4,9,2,5,10,5,6,17,12,4,7,2,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",84,121,122,85,120,110,78,113,91,72,70,71,62,49,28,33,14,2,3,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",18,30,30,31,36,34,27,19,16,15,13,16,12,13,8,2,2,3,2,5,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,5,4,16,15,9,7,2,13,8,11,8,0,3,2,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Domino",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1908,2160,2093,2015,1927,1823,1677,1680,1508,1444,1436,1441,1396,1210,1109,1219,1222,1292,1152,1217,1111,1027,946,909,882,940,912,898,893,864,939,923,1032,1037,986,1014
,,"Non-Biological, Other Unrelated Directed",85,121,122,112,162,135,136,113,109,108,106,107,116,153,140,163,129,106,129,141,137,107,92,88,54,48,36,24,26,13,14,16,2,1,3,4
,,"Biological, blood related: Non-Domino Th",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,37,8,7,3,27,4,22
,,"Non-Biological, Unrelated: Non-Domino Th",7,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,1,0,0,0,1,1,2,1,4,6,4,6,8,12,16,21,30,19,21,20,28,26,18,30,17,8,4,8,3,2,0,0,0,2
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,2,1,2,3,3,6,3,3,0,0,0,1,0,0,0,1
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,0,4,3,3,10,2,3,2,3,1,1,2,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,1,0,0,0,1,1,2,1,3,4,3,6,8,10,9,10,22,11,10,11,11,16,10,14,10,2,2,6,3,1,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0
,No,All Donor Relations,1594,1848,1799,1739,1771,1656,1523,1589,1526,1375,1386,1452,1395,1359,1334,1369,1381,1447,1303,1453,1367,1276,1222,1140,1039,1031,961,769,617,265,20,8,8,13,4,7
,,"Biological, blood related Parent",39,59,53,57,49,56,45,59,54,52,69,64,59,70,96,72,67,80,85,96,93,98,97,82,88,94,83,68,70,44,3,0,0,0,0,2
,,"Biological, blood related Child",22,29,40,30,22,33,48,43,50,37,45,48,34,53,50,51,59,58,52,75,71,56,52,49,50,48,50,34,32,24,5,0,0,0,0,0
,,"Biological, blood related Identical Twin",2,0,1,0,1,0,1,0,1,0,1,0,1,3,1,1,3,3,1,1,3,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",72,99,78,63,76,87,84,94,112,109,123,107,106,134,137,154,149,175,161,175,166,171,182,176,146,149,157,140,136,90,5,1,1,0,0,0
,,"Biological, blood related Half Sibling",4,6,4,7,5,7,7,1,6,8,7,7,3,2,6,5,4,4,7,4,6,2,7,10,11,3,3,4,3,3,1,0,0,0,0,0
,,"Biological, blood related Other Relative",28,18,21,26,39,32,30,22,35,23,31,33,32,33,37,41,45,32,41,36,51,44,35,51,36,31,29,24,14,4,1,0,0,0,0,0
,,"Non-Biological, Spouse",49,51,40,76,71,69,51,50,69,37,50,68,70,75,71,63,84,61,52,75,63,61,54,48,34,47,28,29,26,10,1,0,0,0,0,0
,,"Non-Biological, Life Partner",3,4,2,2,3,3,3,7,2,3,7,5,5,14,11,4,4,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",55,88,97,61,96,77,62,88,67,53,54,55,44,35,24,23,10,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",13,24,21,18,28,27,22,16,7,10,8,9,7,6,7,2,2,3,1,5,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,5,1,10,12,7,6,1,11,7,9,5,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Domino",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",1193,1374,1345,1310,1262,1165,1051,1125,1026,955,910,969,947,809,775,806,853,937,788,873,807,756,721,655,630,625,582,447,315,83,2,7,7,13,4,5
,,"Non-Biological, Other Unrelated Directed",61,94,94,89,119,99,113,83,87,76,74,81,86,113,112,138,96,91,105,105,104,83,71,65,42,33,26,17,20,7,1,0,0,0,0,0
,,"Biological, blood related: Non-Domino Th",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type I,All Donor Relations,45,44,57,48,55,65,44,40,48,43,59,73,60,56,69,67,78,58,47,13,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Biological, blood related Parent",1,1,3,1,1,1,1,0,3,1,1,3,3,2,5,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",1,1,2,1,1,5,1,3,2,2,3,3,2,3,4,7,5,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,1,7,2,3,4,6,5,5,8,5,7,5,12,15,9,6,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",1,1,1,2,2,0,0,1,1,3,2,1,3,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",2,0,2,2,5,4,4,2,3,2,2,4,3,3,6,4,9,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Life Partner",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",2,3,0,2,2,7,2,1,1,1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",0,1,1,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,Living/Deceased Donor Donation",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",31,34,37,33,35,37,27,25,27,17,40,45,35,25,29,34,45,29,27,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Other Unrelated Directed",2,2,4,3,4,6,2,3,5,8,4,3,8,7,6,5,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,NOT REPORTED,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,"Non-Biological, Unrelated: Non-Domino Th",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Donor Relations,810,871,812,771,747,702,664,614,569,546,551,485,453,420,323,350,293,232,165,79,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
,,"Biological, blood related Parent",1,2,2,4,3,2,3,2,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Child",29,26,26,19,31,30,25,27,46,38,31,27,32,24,23,28,34,31,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",16,17,16,22,14,16,10,13,24,20,16,12,16,22,19,11,20,6,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Half Sibling",0,1,1,0,0,2,1,2,0,0,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Other Relative",8,9,8,10,11,11,7,1,4,6,9,3,4,4,8,9,8,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
